populacao,ano,sigla_uf,id_municipio
25565,2020,PA,150790
25752,2021,PA,150790
108969,2020,PA,150795
111554,2021,PA,150795
11847,2020,PA,150796
11971,2021,PA,150796
18917,2020,PA,150797
19063,2021,PA,150797
64030,2020,PA,150800
64604,2021,PA,150800
31257,2020,PA,150803
31549,2021,PA,150803
19168,2020,PA,150805
19344,2021,PA,150805
40136,2020,PA,150808
40661,2021,PA,150808
115144,2020,PA,150810
116605,2021,PA,150810
60761,2020,PA,150812
62286,2021,PA,150812
45435,2020,PA,150815
45395,2021,PA,150815
54172,2020,PA,150820
54650,2021,PA,150820
61751,2020,PA,150830
62093,2021,PA,150830
15279,2020,PA,150835
15421,2021,PA,150835
45086,2020,PA,150840
45416,2021,PA,150840
5488,2020,AP,160005
5577,2021,AP,160005
9187,2020,AP,160010
9265,2021,AP,160010
17067,2020,AP,160015
17625,2021,AP,160015
11306,2020,AP,160020
11493,2021,AP,160020
6101,2020,AP,160021
6217,2021,AP,160021
7967,2020,AP,160023
8151,2021,AP,160023
5617,2020,AP,160025
5730,2021,AP,160025
51362,2020,AP,160027
52302,2021,AP,160027
512902,2020,AP,160030
522357,2021,AP,160030
22053,2020,AP,160040
22468,2021,AP,160040
27906,2020,AP,160050
28534,2021,AP,160050
22452,2020,AP,160053
22927,2021,AP,160053
5246,2020,AP,160055
5370,2021,AP,160055
123096,2020,AP,160060
124808,2021,AP,160060
17769,2020,AP,160070
18217,2021,AP,160070
16254,2020,AP,160080
16572,2021,AP,160080
2594,2020,TO,170025
2609,2021,TO,170025
6892,2020,TO,170030
7049,2021,TO,170030
5346,2020,TO,170035
5303,2021,TO,170035
6979,2020,TO,170040
6905,2021,TO,170040
8396,2020,TO,170070
8381,2021,TO,170070
9492,2020,TO,170100
9435,2021,TO,170100
3454,2020,TO,170105
3475,2021,TO,170105
4848,2020,TO,170110
4901,2021,TO,170110
5731,2020,TO,170130
5705,2021,TO,170130
7155,2020,TO,170190
7223,2021,TO,170190
8467,2020,TO,170200
8418,2021,TO,170200
183381,2020,TO,170210
186245,2021,TO,170210
5793,2020,TO,170215
5856,2021,TO,170215
36170,2020,TO,170220
36573,2021,TO,170220
6616,2020,TO,170230
6590,2021,TO,170230
10534,2020,TO,170240
10502,2021,TO,170240
18643,2020,TO,170255
18870,2021,TO,170255
3783,2020,TO,170270
3809,2021,TO,170270
9787,2020,TO,170290
9817,2021,TO,170290
10666,2020,TO,170300
10668,2021,TO,170300
3592,2020,TO,170305
3631,2021,TO,170305
4632,2020,TO,170307
4673,2021,TO,170307
5651,2020,TO,170310
5669,2021,TO,170310
4448,2020,TO,170320
4439,2021,TO,170320
